Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Y6         636XXXXXXMXXXXX     249.504mm      209.88mm     249.504mm      209.88mm     248.234mm      208.78mm  T        360.00 636N5C025M00000
Y5         CB3X-X-XMX          197.688mm       32.08mm     197.688mm       32.08mm     199.788mm       29.54mm  T         90.00 CB3LV-3C-33M3333
Y4         405XXXXXXMXXXXX     290.652mm     206.832mm     290.652mm     206.832mm     288.802mm     205.732mm  T        360.00 405C35D12M00000
Y3         405XXXXXXMXXXXX     220.548mm      58.496mm     220.548mm      58.496mm     222.398mm      59.596mm  T        180.00 405XXXXXXMXXXXX
Y2         CB3X-X-XMX          230.962mm       95.58mm     230.962mm       95.58mm     233.502mm       97.68mm  T        180.00 CB3LV-3C-33M3333
VR2        VAR_V5_5MLA0603     271.856mm     222.834mm     271.856mm     222.834mm     271.856mm     223.484mm  T        270.00 V5.5MLA0603    
VR1        VAR_V5_5MLA0603     288.874mm      231.47mm     288.874mm      231.47mm     288.224mm      231.47mm  T        360.00 V5.5MLA0603    
U83        SOT23-6            184.2768mm      33.731mm    184.2768mm      33.731mm    185.5268mm      32.781mm  T        180.00 SN74AVCH1T45   
U82        PW020               219.024mm     122.504mm     219.024mm     122.504mm     224.739mm     127.104mm  T        270.00 SN74LVC244A    
U80        PW056              171.7941mm     82.6518mm    171.7941mm     82.6517mm    168.1691mm     89.4018mm  T          0.00 SN74AVC20T245  
U79        PW020               203.784mm     122.504mm     203.784mm     122.504mm     209.499mm     127.104mm  T        270.00 SN74LVC244A    
U78        PW048              171.8728mm     67.6716mm    171.8728mm     67.6716mm    168.2478mm     73.4216mm  T        360.00 SN74AVC16T245  
U77        PW020               188.544mm     122.504mm     188.544mm     122.504mm     194.259mm     127.104mm  T        270.00 SN74LVC244A    
U76        PW056              171.7941mm     98.4237mm    171.7941mm     98.4237mm    168.1691mm    105.1737mm  T          0.00 SN74AVC20T245  
U75        SOT23-6             170.256mm      48.844mm     170.256mm      48.844mm     169.006mm      49.794mm  T          0.00 SN74AVCH1T45   
U74        SOT23-5             168.351mm      53.416mm     168.351mm      53.416mm     169.651mm      52.466mm  T        180.00 SN74AUC1G04    
U73        SOT23-6             168.351mm      57.226mm     168.351mm      57.226mm     169.601mm      56.276mm  T        180.00 SN74AVCH1T45   
U72        CCLD-023X-XX-XXX_XXX      57.988mm       81.61mm      57.988mm       81.61mm      56.113mm       84.15mm  T        270.00 CCLD-023-25-100.000
U71        SOT23-5              67.132mm      49.606mm      67.132mm      49.606mm      66.182mm      48.306mm  T         90.00 SN65LVDT2      
U70        PW08                  60.02mm      50.368mm       60.02mm      50.368mm       62.22mm      49.393mm  T        180.00 THS3061        
U69        LFCSP_VQ-12          43.764mm      38.176mm      43.764mm      38.176mm      44.264mm      39.576mm  T        270.00 ADCMP605BCPZ   
U68        PW024               35.1026mm    158.1402mm     35.1026mm    158.1402mm     32.2526mm    161.7152mm  T        360.00 SN74AVC8T245   
U67        LFCSP_VQ-12          66.624mm      38.176mm      66.624mm      38.176mm      67.124mm      39.576mm  T        270.00 ADCMP605BCPZ   
U66        SOT23-6             226.644mm     224.612mm     226.644mm     224.612mm     225.694mm     223.512mm  T         90.00 SN74LVC1G10    
U65        SOT23-6             226.644mm     216.992mm     226.644mm     216.992mm     225.694mm     215.892mm  T         90.00 SN74LVC1G10    
U56        CCLD-023X-XX-XXX_XXX     44.3228mm     112.852mm     44.3228mm     112.852mm     42.4478mm     115.392mm  T        270.00 CCLD-023-25-156.250
U55        CCLD-023X-XX-XXX_XXX     159.334mm     109.296mm     159.334mm     109.296mm     161.874mm     111.171mm  T        180.00 CCLD-023-25-125.000
U54        MLF-16               50.241mm     111.582mm      50.241mm     111.582mm      51.791mm     110.832mm  T        180.00 SY89832UMI     
U53        CCLD-023X-XX-XXX_XXX    151.0028mm    110.3628mm    151.0028mm    110.3628mm    152.8778mm    107.8228mm  T         90.00 CCLD-023-25-156.250
U52        MLF-16             144.1448mm    106.0448mm    144.1448mm    106.0448mm    142.5948mm    106.7948mm  T        360.00 SY89832UMI     
U51        SOT23-5              174.65mm       127.1mm      174.65mm       127.1mm      173.35mm      128.05mm  T        360.00 NC7S08M5X      
